Ligand,Receptor,Annotation,Reference
WNT10B,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209170
WNT10B,FZD4,Secreted Signaling,KEGG: hsa04310; PMID: 23209171
WNT10B,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209171
WNT10B,FZD5,Secreted Signaling,KEGG: hsa04310; PMID: 23209172
WNT10B,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209172
WNT10B,FZD6,Secreted Signaling,KEGG: hsa04310; PMID: 23209173
WNT10B,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209173
WNT10B,FZD7,Secreted Signaling,KEGG: hsa04310; PMID: 23209174
WNT10B,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209174
WNT10B,FZD8,Secreted Signaling,KEGG: hsa04310; PMID: 23209175
WNT10B,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209175
WNT10B,FZD9,Secreted Signaling,KEGG: hsa04310; PMID: 23209176
WNT10B,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209176
WNT16,FZD1,Secreted Signaling,KEGG: hsa04310; PMID: 23209177
WNT16,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209177
WNT16,FZD10,Secreted Signaling,KEGG: hsa04310; PMID: 23209178
WNT16,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209178
WNT16,FZD2,Secreted Signaling,KEGG: hsa04310; PMID: 23209179
WNT16,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209179
WNT16,FZD3,Secreted Signaling,KEGG: hsa04310; PMID: 23209180
WNT16,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209180
WNT16,FZD4,Secreted Signaling,KEGG: hsa04310; PMID: 23209181
WNT16,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209181
WNT16,FZD5,Secreted Signaling,KEGG: hsa04310; PMID: 23209182
WNT16,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209182
